Time,Channel A,Channel B
(s),(V),(V)

-49.96449837,13.38583000,0.70866140
-49.96439837,13.38583000,0.70866140
-49.96429837,13.54331000,0.70866140
-49.96419837,13.54331000,0.70866140
-49.96409837,13.54331000,0.70866140
-49.96399837,13.70079000,0.70866140
-49.96389837,13.70079000,0.70866140
-49.96379837,13.85827000,0.70866140
-49.96369837,13.85827000,0.70866140
-49.96359837,13.85827000,0.70866140
-49.96349837,14.01575000,0.70866140
-49.96339837,14.01575000,0.70866140
-49.96329837,14.17323000,0.70866140
-49.96319837,14.17323000,0.70866140
-49.96309837,14.17323000,0.70866140
-49.96299837,14.33071000,0.70866140
-49.96289837,14.33071000,0.70866140
-49.96279837,14.48819000,0.70866140
-49.96269837,14.48819000,0.70866140
-49.96259837,14.48819000,0.70866140
-49.96249837,14.64567000,0.70866140
-49.96239837,14.64567000,0.70866140
-49.96229837,14.80315000,0.70866140
-49.96219837,14.80315000,0.70866140
-49.96209837,14.80315000,0.70866140
-49.96199837,14.96063000,0.70866140
-49.96189837,14.96063000,0.70866140
-49.96179837,15.11811000,0.70866140
-49.96169837,15.11811000,0.70866140
-49.96159837,15.11811000,0.70866140
-49.96149837,15.27559000,0.70866140
-49.96139837,15.27559000,0.70866140
-49.96129837,15.27559000,0.70866140
-49.96119837,15.43307000,0.70866140
-49.96109837,15.43307000,0.70866140
-49.96099837,15.59055000,0.70866140
-49.96089837,15.59055000,0.70866140
-49.96079837,15.59055000,0.70866140
-49.96069837,15.74803000,0.70866140
-49.96059837,15.74803000,0.70866140
-49.96049837,15.90551000,0.70866140
-49.96039837,15.90551000,0.70866140
-49.96029837,15.90551000,0.70866140
-49.96019837,16.06299000,0.70866140
-49.96009837,16.06299000,0.70866140
-49.95999837,16.06299000,0.70866140
-49.95989837,16.22047000,0.70866140
-49.95979837,16.22047000,0.70866140
-49.95969837,16.37795000,0.70866140
-49.95959837,16.37795000,0.70866140
-49.95949837,16.37795000,0.70866140
-49.95939837,16.53543000,0.70866140
-49.95929837,16.53543000,0.70866140
-49.95919837,16.53543000,0.70866140
-49.95909837,16.69291000,0.70866140
-49.95899837,16.69291000,0.70866140
-49.95889837,16.85039000,0.70866140
-49.95879837,16.85039000,0.70866140
-49.95869837,16.85039000,0.70866140
-49.95859837,17.00787000,0.70866140
-49.95849837,17.00787000,0.70866140
-49.95839837,17.00787000,0.70866140
-49.95829837,17.16535000,0.70866140
-49.95819837,17.16535000,0.70866140
-49.95809837,17.32283000,0.70866140
-49.95799837,17.32283000,0.70866140
-49.95789837,17.32283000,0.70866140
-49.95779837,17.32283000,0.70866140
-49.95769837,17.48031000,0.70866140
-49.95759837,17.48031000,5.35433100
-49.95749837,17.63779000,0.70866140
-49.95739837,17.63779000,0.70866140
-49.95729837,17.63779000,0.70866140
-49.95719837,17.79527000,0.70866140
-49.95709837,17.79527000,0.70866140
-49.95699837,17.95275000,0.70866140
-49.95689837,17.95275000,0.70866140
-49.95679837,17.95275000,0.70866140
-49.95669837,18.11024000,0.70866140
-49.95659837,18.11024000,0.70866140
-49.95649837,18.26772000,0.70866140
-49.95639837,18.26772000,0.70866140
-49.95629837,18.26772000,0.70866140
-49.95619837,18.42520000,0.70866140
-49.95609837,18.42520000,0.70866140
-49.95599837,18.42520000,0.70866140
-49.95589837,18.58268000,0.70866140
-49.95579837,18.58268000,0.70866140
-49.95569837,18.58268000,0.70866140
-49.95559837,18.74016000,0.70866140
-49.95549837,18.74016000,0.70866140
-49.95539837,18.74016000,0.70866140
-49.95529837,18.89764000,0.70866140
-49.95519837,18.89764000,0.70866140
-49.95509837,19.05512000,0.70866140
-49.95499837,19.05512000,0.70866140
-49.95489837,19.05512000,0.70866140
-49.95479837,19.21260000,0.70866140
-49.95469837,19.21260000,0.70866140
-49.95459837,19.21260000,0.70866140
-49.95449837,19.37008000,0.70866140
-49.95439837,19.37008000,0.70866140
-49.95429837,19.37008000,0.70866140
-49.95419837,19.37008000,0.70866140
-49.95409837,19.21260000,0.70866140
-49.95399837,19.21260000,0.70866140
-49.95389837,19.05512000,0.70866140
-49.95379837,19.05512000,0.70866140
-49.95369837,18.89764000,0.70866140
-49.95359837,18.89764000,0.70866140
-49.95349837,18.74016000,0.70866140
-49.95339837,18.74016000,0.70866140
-49.95329837,18.58268000,0.70866140
-49.95319837,18.58268000,0.70866140
-49.95309837,18.42520000,0.70866140
-49.95299837,18.42520000,0.70866140
-49.95289837,18.26772000,0.70866140
-49.95279837,18.26772000,0.70866140
-49.95269837,18.11024000,0.70866140
-49.95259837,18.11024000,0.70866140
-49.95249837,17.95275000,0.70866140
-49.95239837,17.95275000,0.70866140
-49.95229837,17.95275000,0.70866140
-49.95219837,17.79527000,0.70866140
-49.95209837,17.79527000,0.70866140
-49.95199837,17.63779000,0.70866140
-49.95189837,17.63779000,0.78740160
-49.95179837,17.48031000,0.70866140
-49.95169837,17.48031000,0.70866140
-49.95159837,17.32283000,0.70866140
-49.95149837,17.32283000,0.70866140
-49.95139837,17.16535000,0.70866140
-49.95129837,17.16535000,0.70866140
-49.95119837,17.16535000,0.70866140
-49.95109837,17.00787000,0.70866140
-49.95099837,17.00787000,0.70866140
-49.95089837,16.85039000,0.70866140
-49.95079837,16.85039000,0.70866140
-49.95069837,16.69291000,0.70866140
-49.95059837,16.69291000,0.70866140
-49.95049837,16.53543000,0.70866140
-49.95039837,16.53543000,0.70866140
-49.95029837,16.37795000,0.70866140
-49.95019837,16.37795000,0.70866140
-49.95009837,16.37795000,0.70866140
-49.94999837,16.22047000,0.70866140
-49.94989837,16.22047000,0.70866140
-49.94979837,16.06299000,0.70866140
-49.94969837,16.06299000,0.70866140
-49.94959837,15.90551000,0.70866140
-49.94949837,15.90551000,0.70866140
-49.94939837,15.90551000,0.70866140
-49.94929837,15.74803000,0.70866140
-49.94919837,15.74803000,0.70866140
-49.94909837,15.59055000,0.70866140
-49.94899837,15.59055000,0.70866140
-49.94889837,15.43307000,0.70866140
-49.94879837,15.43307000,0.70866140
-49.94869837,15.27559000,0.70866140
-49.94859837,15.27559000,0.70866140
-49.94849837,15.27559000,0.70866140
-49.94839837,15.11811000,0.70866140
-49.94829837,15.11811000,0.70866140
-49.94819837,14.96063000,0.70866140
-49.94809837,14.96063000,0.70866140
-49.94799837,14.80315000,0.70866140
-49.94789837,14.80315000,0.70866140
-49.94779837,14.64567000,0.70866140
-49.94769837,14.64567000,0.70866140
-49.94759837,14.64567000,0.70866140
-49.94749837,14.48819000,0.70866140
-49.94739837,14.48819000,0.70866140
-49.94729837,14.33071000,0.70866140
-49.94719837,14.33071000,0.70866140
-49.94709837,14.17323000,0.70866140
-49.94699837,14.17323000,0.70866140
-49.94689837,14.17323000,0.70866140
